User ID,Gender,Age,Salary,ProbOfPurchase
24510,Female,20,19500,1
10944,Male,28,23500,0
68575,Male,26,39500,1
03246,Female,27,61000,1
04002,Male,21,76000,0
28773,Male,27,58000,0
98044,Female,27,84000,0
94829,Female,32,150000,1
00575,Male,25,33000,0
27311,Female,28,65000,0
70769,Female,26,80000,0
06274,Female,26,52000,0
46139,Male,20,86000,0
04987,Male,32,18000,0
28972,Male,18,82000,0
97686,Male,29,80000,0
33883,Male,51,25000,1
17482,Male,45,26000,1
04583,Male,46,28000,1
21083,Female,48,29000,1
49487,Male,45,22000,1
36760,Female,51,49000,1
14658,Male,48,41000,1
99081,Female,45,22000,1
05113,Male,46,23000,1
31159,Male,51,23500,1
92818,Male,49,28000,1
32831,Female,51,30000,1
44529,Male,29,39500,0
69656,Male,31,18000,0
81218,Male,31,74000,0
29054,Female,27,137000,1
73452,Female,21,16000,0
76733,Female,28,44000,0
24858,Male,27,90000,0
13144,Male,28,27000,0
90188,Female,33,28000,0
89425,Male,30,49000,0
71766,Female,26,72000,0
82806,Female,27,31000,0
64421,Female,27,17000,0
92115,Female,33,51000,0
72798,Male,28,108000,0
92008,Male,30,15000,0
15541,Female,28,84000,0
39277,Male,23,23500,0
98850,Male,25,79000,0
76348,Female,27,54000,0
27696,Male,30,128000,1
93813,Female,31,89000,0
94395,Female,24,32000,0
64215,Female,18,44000,0
44921,Female,29,83000,0
71655,Female,28,23000,0
54901,Female,27,58000,0
49136,Female,24,55000,0
75562,Female,23,48000,0
07481,Male,28,79000,0
42885,Male,22,18000,0
89109,Female,32,117000,0
14004,Male,27,23500,0
73621,Male,25,87000,0
95128,Female,23,66000,0
83681,Male,32,123500,1
05000,Female,59,83000,0
18071,Male,24,58000,0
79760,Male,24,19500,0
54574,Female,23,82000,0
77178,Female,22,63000,0
95324,Female,31,68000,0
56932,Male,25,80000,0
26288,Female,24,27000,0
95228,Female,20,23000,0
82530,Female,33,113000,0
92877,Male,32,18000,0
52183,Male,34,112000,1
46737,Male,18,52000,0
74179,Female,22,27000,0
67265,Female,28,87000,0
55123,Female,26,17000,0
95917,Male,30,80000,0
68385,Male,39,42000,0
09516,Male,20,49000,0
11218,Male,28,88000,0
98659,Female,30,62000,0
63939,Female,31,118000,1
94946,Male,24,55000,0
32112,Female,28,85000,0
68816,Male,26,81000,0
82268,Male,28,50000,0
84801,Male,22,81000,0
36428,Female,30,116000,0
09823,Male,26,15000,0
99284,Female,29,28000,0
86993,Female,29,83000,0
09441,Female,28,44000,0
10257,Female,28,25000,0
82492,Male,28,123000,1
75694,Male,28,73000,0
56820,Female,28,37000,0
66289,Male,27,88000,0
93014,Male,28,59000,0
84545,Female,32,86000,0
75949,Female,33,149000,1
72091,Female,21,19500,0
01658,Male,21,72000,0
06185,Female,26,28000,0
89863,Male,27,89000,0
20943,Male,26,86000,0
97997,Female,38,80000,0
65416,Female,39,71000,0
60200,Female,37,71000,0
21653,Male,38,61000,0
73451,Male,37,55000,0
39160,Male,42,80000,0
89237,Male,40,61000,0
79297,Male,28,75000,0
91433,Male,36,52000,0
42725,Male,40,59000,0
02162,Male,41,59000,0
11613,Female,36,75000,0
41049,Male,37,72000,0
24423,Female,40,75000,0
74305,Male,28,53000,0
78168,Female,41,51000,0
97020,Female,39,61000,0
10801,Male,42,65000,0
45232,Male,26,32000,0
22758,Male,30,17000,0
92102,Female,26,84000,0
75185,Male,31,58000,0
01251,Male,33,31000,0
25660,Male,30,87000,0
38963,Female,21,68000,0
00061,Female,28,55000,0
78006,Male,23,63000,0
68504,Female,20,82000,0
87491,Male,30,107000,1
10403,Female,28,59000,0
41094,Male,21,25000,0
07909,Male,21,85000,0
66141,Female,18,68000,0
17134,Male,28,59000,0
83029,Male,30,89000,0
22833,Female,34,25000,0
46422,Female,24,89000,0
50839,Female,27,96000,1
49130,Female,41,30000,0
79862,Male,29,61000,0
67871,Male,20,74000,0
79651,Female,26,15000,0
76221,Male,41,45000,0
99251,Male,31,76000,0
21087,Female,36,50000,0
05327,Male,40,51000,0
10140,Female,31,15000,0
91174,Male,46,59000,0
02373,Male,29,75000,0
62605,Male,26,30000,0
98840,Female,32,128000,1
44279,Male,32,100000,1
70621,Male,25,90000,0
99533,Female,37,33000,0
57837,Male,28,38000,0
97574,Female,33,69000,0
78738,Female,18,86000,0
62228,Female,22,55000,0
14827,Female,28,71000,0
89815,Male,29,148000,1
79781,Female,29,51000,0
87013,Male,21,88000,0
70932,Male,34,115000,0
94661,Female,26,118000,0
81654,Female,34,39500,0
44296,Female,34,72000,0
14420,Female,23,28000,0
09653,Female,28,51000,0
94577,Male,25,22000,0
84114,Male,24,23000,0
73367,Female,31,34000,0
85576,Male,26,16000,0
75127,Female,31,71000,0
94288,Female,32,117000,1
03321,Male,33,39500,0
59066,Female,33,60000,0
14816,Male,31,66000,0
24402,Female,20,82000,0
71059,Female,33,41000,0
74206,Male,28,72000,0
15160,Male,28,32000,0
30448,Male,24,84000,0
62067,Female,21,26000,0
79581,Male,29,39500,0
62901,Male,21,70000,0
89751,Male,28,89000,0
67742,Male,34,39500,0
38448,Female,30,79000,0
80243,Female,20,36000,0
45083,Male,26,80000,0
08228,Male,28,22000,0
28523,Male,28,39000,0
08216,Male,49,74000,0
28549,Female,39,134000,1
09351,Female,41,71000,0
60866,Female,58,101000,1
66609,Female,51,51000,0
54230,Female,55,130000,1
94566,Female,52,114000,0
00890,Female,40,142000,1
97424,Female,46,22000,0
24536,Female,48,96000,1
28878,Male,52,150000,1
07596,Female,59,42000,0
57163,Male,28,58000,0
22518,Male,51,39500,0
79529,Female,60,108000,1
36023,Male,49,65000,0
82066,Male,40,78000,0
66675,Female,46,96000,0
32987,Male,59,139500,1
89432,Female,41,80000,0
63161,Male,28,91000,1
94879,Male,37,144000,1
93715,Male,60,102000,1
75002,Female,28,60000,0
22171,Male,37,53000,0
95224,Female,36,126000,1
85346,Male,56,133000,1
91808,Female,40,72000,0
21007,Female,42,80000,1
94253,Female,28,151000,1
94453,Male,39,42000,0
13113,Male,40,107000,1
14187,Male,49,86000,1
21407,Female,38,112000,0
46227,Male,46,79000,1
60541,Male,40,61000,0
53874,Female,37,80000,0
17877,Female,46,82000,0
72073,Female,53,139500,1
01537,Male,42,149000,1
36228,Male,38,59000,0
80572,Female,50,88000,1
69596,Female,56,104000,1
86996,Female,41,72000,0
22061,Female,51,146000,1
38003,Female,28,50000,0
75590,Female,57,122000,1
30688,Male,41,52000,0
53102,Female,28,97000,1
10075,Female,44,39000,0
23373,Male,37,52000,0
95298,Female,48,134000,1
84320,Female,37,146000,1
24161,Female,50,44000,0
50056,Female,52,90000,1
09637,Female,41,72000,0
94493,Male,40,61000,0
69641,Female,58,95000,1
15236,Female,45,131000,1
11177,Female,28,77000,0
80587,Male,36,144000,1
72821,Female,55,125000,1
67681,Female,28,72000,0
00379,Male,48,90000,1
01336,Female,42,108000,1
21592,Male,40,75000,0
81282,Male,37,74000,0
46203,Female,51,144000,1
83137,Male,40,61000,0
80752,Female,43,133000,0
88172,Female,59,76000,1
91373,Male,60,42000,1
89449,Male,39,106000,1
92821,Female,57,26000,1
27467,Male,57,74000,1
34312,Male,38,71000,0
64604,Male,49,88000,1
13014,Female,52,38000,1
59684,Female,50,36000,1
09669,Female,59,88000,1
85536,Male,28,61000,0
50451,Male,37,70000,1
63249,Female,52,19500,1
38646,Male,48,141000,0
34161,Female,37,93000,1
31070,Female,37,62000,0
62150,Female,48,138000,1
49668,Male,41,79000,0
13912,Female,37,78000,1
86757,Male,39,134000,1
96522,Male,49,89000,1
25395,Male,55,39000,1
60570,Male,37,77000,0
66689,Female,28,61000,0
25794,Female,36,63000,0
72839,Male,42,73000,1
05298,Female,43,112000,1
75791,Male,45,79000,0
51043,Male,46,117000,1
36397,Female,58,38000,1
78201,Male,48,74000,1
20745,Female,37,137000,1
37593,Male,37,79000,1
98070,Female,40,60000,0
87550,Male,42,54000,0
03942,Female,51,134000,0
33973,Female,51,113000,1
96761,Male,36,125000,1
52400,Female,38,50000,0
17893,Female,42,70000,0
22585,Male,39,96000,1
33964,Female,38,50000,0
53861,Female,49,141000,1
51097,Female,39,79000,0
95162,Female,39,75000,1
67417,Female,54,104000,1
84861,Male,28,55000,0
42204,Male,45,32000,1
22802,Male,36,60000,0
74872,Female,52,138000,1
11211,Female,53,82000,1
74331,Male,41,52000,0
21465,Female,48,30000,1
75251,Female,48,131000,1
95679,Female,41,60000,0
13463,Male,41,72000,0
85170,Female,42,75000,0
96281,Male,36,118000,1
39576,Female,51,107000,1
93264,Male,38,51000,0
89715,Female,48,119500,1
69902,Male,42,65000,0
87177,Male,40,65000,0
14553,Male,57,60000,1
01550,Female,36,54000,0
64907,Male,58,144000,1
12465,Male,28,79000,0
10800,Female,38,55000,0
65760,Male,39,122000,1
88080,Female,53,104000,1
76844,Male,28,75000,0
17560,Female,38,65000,0
29739,Female,51,51000,1
29908,Male,51,105000,1
16781,Female,41,63000,0
46936,Male,53,72000,1
68151,Female,54,108000,1
79212,Male,39,77000,0
21828,Male,38,61000,0
00515,Female,38,113000,1
91279,Male,37,75000,0
87421,Female,42,90000,1
50328,Female,37,61000,0
99621,Male,36,99000,1
06512,Male,60,34000,1
78368,Male,54,70000,1
71387,Female,41,72000,0
73926,Male,40,71000,1
09183,Male,42,54000,0
77514,Male,43,129000,1
78830,Female,53,34000,1
68072,Female,51,50000,1
68293,Female,42,79000,0
54456,Male,42,104000,1
07525,Female,59,29000,1
74372,Female,58,51000,1
71249,Male,46,88000,1
79744,Male,38,71000,0
25155,Female,54,26000,1
11430,Female,60,46000,1
75144,Male,60,83000,1
29885,Female,39,73000,0
08791,Male,59,130000,1
93890,Female,37,80000,0
46091,Female,46,32000,1
96984,Female,46,74000,0
00215,Female,42,53000,0
77806,Male,41,87000,1
49381,Female,58,23000,1
83758,Male,42,64000,0
70615,Male,48,33000,1
15622,Female,44,139000,1
07634,Male,49,28000,1
06901,Female,57,33000,1
75328,Male,56,60000,1
24150,Female,49,39000,1
27220,Male,39,71000,0
72330,Male,51,34000,1
68521,Female,48,28000,1
07837,Male,48,33000,1
92570,Male,51,23000,1
48589,Female,45,45000,1
28893,Male,60,42000,1
57632,Female,39,59000,0
91863,Female,46,41000,1
06071,Male,51,23000,1
54296,Female,50,23500,1
55018,Male,36,33000,0
94041,Female,49,36000,1